Indicator,Year,Age Group,Cases,Rate per 100000
Acute Viral Hepatitis C,2008,25-34,228,0.6
Acute Viral Hepatitis C,2008,35-44,189,0.4
Acute Viral Hepatitis C,2008,45-54,189,0.4
Acute Viral Hepatitis C,2008,55-64,72,0.2
Acute Viral Hepatitis C,2008,65+,26,0.1
Acute Viral Hepatitis C,2007,0-14,9,0
Acute Viral Hepatitis C,2007,15-24,135,0.3
Acute Viral Hepatitis C,2007,25-34,227,0.6
Acute Viral Hepatitis C,2007,35-44,196,0.5
Acute Viral Hepatitis C,2007,45-54,187,0.4
Acute Viral Hepatitis C,2007,55-64,64,0.2
Acute Viral Hepatitis C,2007,65+,26,0.1
Acute Viral Hepatitis C,2006,0-14,6,0
Acute Viral Hepatitis C,2006,15-24,159,0.4
Acute Viral Hepatitis C,2006,25-34,187,0.5
Acute Viral Hepatitis C,2006,35-44,190,0.4
Acute Viral Hepatitis C,2006,45-54,165,0.4
Acute Viral Hepatitis C,2006,55-64,49,0.2
Acute Viral Hepatitis C,2006,65+,32,0.1
Acute Viral Hepatitis C,2005,0-14,7,0
Acute Viral Hepatitis C,2005,15-24,117,0.3
Acute Viral Hepatitis C,2005,25-34,170,0.4
Acute Viral Hepatitis C,2005,35-44,190,0.4
Acute Viral Hepatitis C,2005,45-54,146,0.3
Acute Viral Hepatitis C,2005,55-64,33,0.1
Acute Viral Hepatitis C,2005,65+,20,0.1
Acute Viral Hepatitis C,2004,0-14,9,0
Acute Viral Hepatitis C,2004,15-24,129,0.3
Acute Viral Hepatitis C,2004,25-34,155,0.4
Acute Viral Hepatitis C,2004,35-44,184,0.4
Acute Viral Hepatitis C,2004,45-54,202,0.5
Acute Viral Hepatitis C,2004,55-64,43,0.1
Acute Viral Hepatitis C,2004,65+,33,0.1
Acute Viral Hepatitis C,2003,0-14,11,0
Acute Viral Hepatitis C,2003,15-24,147,0.4
Acute Viral Hepatitis C,2003,25-34,182,0.5
Acute Viral Hepatitis C,2003,35-44,256,0.6
Acute Viral Hepatitis C,2003,45-54,209,0.5
Acute Viral Hepatitis C,2003,55-64,49,0.2
Acute Viral Hepatitis C,2003,65+,35,0.1
Acute Viral Hepatitis C,2002,0-14,21,0
Acute Viral Hepatitis C,2002,15-24,143,0.4
Acute Viral Hepatitis C,2002,25-34,229,0.6
Acute Viral Hepatitis C,2002,35-44,421,0.9
Acute Viral Hepatitis C,2002,45-54,282,0.7
Acute Viral Hepatitis C,2002,55-64,68,0.3
Acute Viral Hepatitis C,2002,65+,44,0.1
Acute Viral Hepatitis C,2001,0-14,21,0
Acute Viral Hepatitis C,2001,15-24,120,0.3
Acute Viral Hepatitis C,2001,25-34,281,0.7
Acute Viral Hepatitis C,2001,35-44,562,1.2
Acute Viral Hepatitis C,2001,45-54,446,1.1
Acute Viral Hepatitis C,2001,55-64,109,0.4
Acute Viral Hepatitis C,2001,65+,83,0.2
Acute Viral Hepatitis C,2000,0-14,10,0
Acute Viral Hepatitis C,2000,15-24,538,1.4
Acute Viral Hepatitis C,2000,25-34,"1,184",3
Acute Viral Hepatitis C,2000,35-44,602,1.3
Acute Viral Hepatitis C,2000,45-54,353,0.9
Acute Viral Hepatitis C,2000,55-64,189,0.8
Acute Viral Hepatitis C,2000,65+,70,0.2
